code,first_name,last_name,phonetic
IL-13,Rodney,Davis,(RAHD-nee DAY-viss)
IL-14,Randy,Hultgren,(RAN-dee HOLT-grin)
IL-15,John,Shimkus,(JAHN SHIM-cuss)
IL-16,Adam,Kinzinger,(ADD-um KIN-zing-er)
IL-17,Cheri,Bustos,(SHAIR-ee BOO-stohs)
IL-18,[Vacant],,
IN-01,Pete,Visclosky,(PEET vi-SKLOW-skee) [OW as in cow]
IN-02,Jackie,Walorski,(JACK-ee wuh-LORE-skee)
IN-03,Marlin,Stutzman,(MAR-lin STUHTS-muhn)
IN-04,Todd,Rokita,(TAHD roh-KEE-tuh)
IN-05,Susan,Brooks,(SOO-zin BROOKS)
IN-06,Luke,Messer,(LOOK MEH-ser)
IN-07,André,Carson,(AHN-dray CAR-suhn)
IN-08,Larry,Bucshon,(LAIR-ee boo-SHAHN)
IN-09,Todd,Young,(TAHD YUHNG)
IA-01,Rod,Blum,(RAHD BLUHM)
IA-02,Dave,Loebsack,(DAVE LOHB-sack)
IA-03,David,Young,(DAY-vid YUHNG
IA-04,Steve,King,(STEEV KING)
KS-01,Tim,Huelskamp,(TIM HYUHL-skamp)
KS-02,Lynn,Jenkins,(LIN JAYN-kuhnz)
KS-03,Kevin,Yoder,(KEV-in YOH-der)
KS-04,Mike,Pompeo,(MIKE pahm-PAY-oh)
KY-01,Ed,Whitfield,(ED WITT-feeld)
KY-02,Brett,Guthrie,(BRETT GUH-three)
KY-03,John,Yarmuth,(JAHN YAR-muhth
KY-04,Thomas,Massie,(TAH-muhs MASS-ee)
KY-05,Hal,Rogers,(HAL RAH-jerz)
KY-06,Andy,Barr,(ANN-dee BAR)
LA-01,Steve,Scalise,(STEEV skuh-LEES)
LA-02,Cedric,Richmond,(SEH-druhk RICH-muhn)
LA-03,Charles,Boustany,(CHARLZ boo-STAN-ee)
LA-04,John,Fleming,(JAHN FLEM-ing)
LA-05,Ralph,Abraham,(RALF AY-bruh-ham)
LA-06,Garret,Graves,(GAIR-ett GRAYVZ)
ME-01,Chellie,Pingree,(SHELL-ee PING-ree)
ME-02,Bruce,Poliquin,(BROOS PAH-lih-kwin)
MD-01,Andy,Harris,(ANN-dee HAIR-iss)
MD-02,Dutch,Ruppersberger,(DUHCH ROO-perz-berg-er)
MD-03,John,Sarbanes,(JAHN SAR-bainz)
MD-04,Donna,Edwards,(DAHN-uh ED-werdz)
MD-05,Steny,Hoyer,(STEH-nee HOY-er)
MD-06,John,Delaney,(JAHN duh-LAY-nee)
MD-07,Elijah,Cummings,(ee-LIE-juh KUHM-ingz)
MD-08,Chris,Van Hollen,(KRISS vann HAH-lenn)
MA-01,Richie,Neal,(RICH-ee NEEL)
MA-02,Jim,McGovern,(JIM mih-GUH-vurn)
MA-03,Niki,Tsongas,(NICK-ee SAWNG-us)
MA-04,Joe,Kennedy,(JOH KEN-eh-dee)
MA-05,Katherine,Clark,(KATH-rinn KLARK)
MA-06,Seth,Moulton,(SETH MOLE-tuhn)
MA-07,Mike,Capuano,(MIKE cap-yoo-AH-noh)
MA-08,Stephen,Lynch,(STEE-vuhn LINCH)
MA-09,Bill,Keating,(BILL KEE-ting)
MI-01,Dan,Benishek,(DANN BEN-ih-shek)
MI-02,Bill,Huizenga,(BILL HIGH-zing-uh)
MI-03,Justin,Amash,(JUH-stin uh-MAHSH)
MI-04,John,Moolenaar,(JAHN MOLE-uh-nar)
MI-05,Dan,Kildee,(DANN KILL-dee)
MI-06,Fred,Upton,(FRED UP-ton)
MI-07,Tim,Walberg,(TIM WAWL-berg)
MI-08,Mike,Bishop,(MIKE BIH-shup)
MI-09,Sandy,Levin,(SAN-dee LEV-in)
MI-10,Candice,Miller,(KAN-diss MILL-er)
MI-11,Dave,Trott,(DAVE TRAHT)
MI-12,Debbie,Dingell,(DEH-bee DING-uhl)
MI-13,John,Conyers,(JAHN KAHN-yerz)
MI-14,Brenda,Lawrence,(BREN-duh LOR-uhns)
MN-01,Tim,Walz,(TIM WAWLZ)
MN-02,John,Kline,(JAHN KLINE)
MN-03,Erik,Paulsen,(AIR-ick PAWL-suhn)
MN-04,Betty,McCollum,(BET-ee muh-KUHL-um)
MN-05,Keith,Ellison,(KEETH EH-lih-suhn)
MN-06,Tom,Emmer,(TAHM EM-er)
MN-07,Collin,Peterson,(KAH-lin PEE-ter-suhn)
MN-08,Rick,Nolan,(RICK NOLL-uhn)
MS-01,[Vacant],,
MS-02,Bennie,Thompson,(BIN-ee TAHM-suhn)
MS-03,Gregg,Harper,(GREGG HAR-per)
MS-04,Steven,Palazzo,(STEEV-in puh-LAZZ-oh)
MO-01,Lacy,Clay,(LAY-see CLAY)
MO-02,Ann,Wagner,(ANN WAG-ner)
MO-03,Blaine,Luetkemeyer,(BLAYN LOOT-kuh-my-ur)
MO-04,Vicky,Hartzler,(VICK-ee HART-slur)
MO-05,Emanuel,Cleaver,(ih-MAN-yoo-wuhl KLEE-ver)
MO-06,Sam,Graves,(SAM GRAYVZ)
MO-07,Billy,Long,(BILL-ee LAWNG)
MO-08,Jason,Smith,(JAY-suhn SMITH)
MT-AL,Ryan,Zinke,(RAHY-uhn ZIN-kee)
NE-01,Jeff,Fortenberry,(JEFF FOR-tn-bare-ee)
NE-02,Brad,Ashford,(BRADD ASH-ferd)
NE-03,Adrian,Smith,(AY-dree-in SMITH)
NV-01,Dina,Titus,(DEE-nuh TIE-tus)
NV-02,Mark,Amodei,(MARK AM-uh-day)
NV-03,Joe,Heck,(JOH HECK)
NV-04,Cresent,Hardy,(KRES-uhnt HAR-dee)
NH-01,Frank,Guinta,(FRAYNK GINN-tuh)
NH-02,Annie,Kuster,(ANN-ee KUHS-ter)
NJ-01,Donald,Norcross,(DAHN-uhld NOR-kraws)
NJ-02,Frank,LoBiondo,(FRAYNK low-bee-AHN-doh)
NJ-03,Tom,MacArthur,(TAHM muh-KAR-thur)
NJ-04,Chris,Smith,(KRISS SMITH)
NJ-05,Scott,Garrett,(SKAHT GAIR-itt)
NJ-06,Frank,Pallone,(FRAYNK puh-LOHN)
NJ-07,Leonard,Lance,(LEH-nerd LANCE)
NJ-08,Albio,Sires,(AL-bee-oh SEAR-ees)
NJ-09,Bill,Pascrell,(BILL PASS-KRELL) [equal stress]
NJ-10,Donald,Payne,(DAHN-uhld PAYN)
NJ-11,Rodney,Frelinghuysen,(RAHD-nee FREE-ling-high-zen)
NJ-12,Bonnie,Watson Coleman,(BAH-nee WAHT-suhn KOLE-muhn)
NM-01,Michelle,Lujan Grisham,(mih-SHELL LOO-hahn GRISH-uhm)
NM-02,Steve,Pearce,(STEEV PIERCE)
NM-03,Ben Ray,Luján,(BEN RAY loo-HAHN)
NY-01,Lee,Zeldin,(LEE ZEL-din)
NY-02,Pete,King,(PEET KING)
NY-03,Steve,Israel,(STEEV IZZ-ree-uhl)
NY-04,Kathleen,Rice,(KATH-leen RICE)
NY-05,Gregory,Meeks,(GREH-gree MEEKS)
NY-06,Grace,Meng,(GRACE MAYNG)
NY-07,Nydia,Velázquez,(NEE-dee-uh vuh-LASS-kess)
NY-08,Hakeem,Jeffries,(hah-KEEM JEFF-reez)
NY-09,Yvette,Clarke,(ee-VET KLARK)
NY-10,Jerry,Nadler,(JAIR-ee NADD-ler)
NY-11,[Vacant],,
NY-12,Carolyn,Maloney,(KAIR-uh-luhn muh-LOH-nee)
NY-13,Charlie,Rangel,(CHAR-lee RAYN-guhl)
NY-14,Joe,Crowley,(JOH KROW-lee) [rhymes with cow]
NY-15,José,Serrano,(hoh-ZAY sair-AH-noh)
NY-16,Eliot,Engel,(EL-ee-uht AYN-guhl)
NY-17,Nita,Lowey,(NEE-tuh LOH-wee)
NY-18,Sean Patrick,Maloney,(shawn PAT-trick muh-LOH-nee)
